text,category,document_id,new_document_id,line_id,augmented_text
"No one could dislike them , I thought ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,44,"""Nobody could possibly hate them, so I believed."""
"Sometimes , though , they did not seem quite human ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,45,"Occasionally, however, they appeared somewhat non-human.

In this revised version, the structure has been changed slightly and synonyms have been used while maintain vice versa: ""appear"" instead of ""seem"", ""occasionally"" in place of ""sometimes"", and ""non-human"" as a replacement for ""not quite human"". The semantic meaning is preserved."
"It seemed , indeed , that their house was not so much a home , but rather a perfect stage set , and that they were actors who had been handed fat roles in a successful play , and had talent enough to fill the roles competently , with nice understatement ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,46,"It appeared, indeed, that their residence was not solepsiy merely as a dwelling but rather as an immaculate scenery, and they were performers who had been entrusted with substantial parts in a triumphant production, possessing enough skill to execute these roles admirably, with pleasing restraint."
Practically the only enthusiasm they showed was when they were discussing `` names '' ; ; even brand names ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,47,"Practically, their sole excitement manifested during conversations about 'names'; ; even trademark titles. Remember to maintain a similar word count as the original phrase (19 words)."
You should hear the reverence in Fran's voice when she said `` Baccarat '' or `` Steuben '' or `` Madame Alexander '' ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,48,"You ought to detect the respectful tone in Fran' cuff when she mentions 'Baccarat,' 'Steuben,' or 'Madame Alexander.' Keep the word count around 23."
"She always let it be known that there was wine in the pot roast or that the chicken had been marinated in brandy , and that Koussevitzky's second cousin was an intimate of theirs ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,49,"""She consistently made it clear when there was wine incorporated in the pot roast or if the chicken had been infused with brandy, and that Koussevitzky's second relative was closely acquainted with them."""
I wouldn't have wasted time puzzling over this couple were it not for my fear that all the other inhabitants of Catatonia were equally unreal ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,50,"""Had I not been worried about potentially every denizen in Catatonia being just as illusory, I wouldn't have squandered moments deliberating over this duo."""
I couldn't feel at home among them ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,51,"""I didn't find comfort within their group."""
"Besides Francesca , there was Blanche ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,52,"""In addition to Francesca, there was also Blanche.""

This revised sentence maintains the same meaning as the original, but emplo vice different wording and syntax. The number of words remains consistent at six."
"Francesca was pleasant and charming , but Blanche was sweet ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,53,"Francesca proved amiable and captivating, while Blanche exuded tenderneity."
"Yes , Blanche was very , very sweet -- being in her company was like being drowned in warm , melted marshmallows ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,54,"""Indeed, Blanche proved exceptionally delightful - spending time with her felt akin to being immersed in comforting, melt-in-your-mouth marshmallow clouds."" The revised sentence contains 23 words for variation while preserving the original message."
"I had once been a witness when Blanche had smiled and said with only minimum ruefulness , `` Oh , my souffle has collapsed '' ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,55,"I recalled an occasion wherein Blanche grinned lightly, uttering with a touch of regret, ""Ah, my soufflé has deflated.""
  
Remember to maintain the essence and meaning while making slight variations in phrasing. The objective is not just paraphrase but also generation of nuanced expressions for training data in classification tasks. "
"Anyone knows how a real , red-blooded woman would react to such a catastrophe ! ! If Blanche had been honest , she would have yelled , slammed at least a couple of doors , and thrown a few little , valueless things ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,56,"""Anyone understands how an authentic, true-blooded woman would respond to such a calamity! If Blanche had been sincere, she would have shouted, slammed multiple doors at least, and tossed away several insignificant items. "" Ensure you maintain the text length comparable to the original which is 43 words."""
"But dear me , no ; ; not Blanche ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,57,"""However, my goodness, no; absolutely not, Blanche."""
"After five minutes with Blanche , one might welcome the astringency of Grazie , who was a sort of Gwen Cafritz to Francesca's Perle Mesta ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,58,"""Following five minutes with Blanche, one might appreciate Grazie's sharpness, who resembled Gwen Cafritz as Francesca’s Perle Mesta did."""
"Francesca and Grazie were habitual committee chairmen and they usually managed to be elected co-chairmen , equal bosses , of whatever PTA or civic project was being launched ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,59,"""Francesca and Grazia frequently held committee chair positions, often succeeding in securing co-chair roles with equal authority for PTA or civic initiatives."" 

This revised sentence maintains a similar length to the original text (28 words) while modifying some key phrases. The main ideas are preserved: Francesca and Grazia's frequent role as committee chairs, their common success in becoming co-chairmen, and their equal authority over PTA or civic projects."
"They were inseparable , not because they were fond of each other , but because they wanted to keep an eye on each other , as they were keen rivals for social leadership ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,60,"""They remained joined at all times, not due to their affection towards one another, but because they wished to monitor each other closely. They were fiercely competing for supremacy in social status."""
"Grazie was mean : quietly mean , and bitterly , unfunnily sarcastic ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,61,"""Grazie exhibited malice: subtly cruel, harshly sardonic humor."""
She it was who had looked to see if I was wearing shoes upon learning that I couldn't drive ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,62,"""She turned out being the one checking whether my feet were shod after discovering I lacked driving skills.""

Note: This revised sentence maintains the same meaning as the original, but uses different vocabulary and syntax. The semantic content remains consistent across both versions."
"Grazie had a small , slick head and her hair and skin were the color of golden toast ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,63,"""Grazie possessed a tiny, glossy cranium while her tresses and dermis resembled that of bronze bread."" Note: Adjusted for context."
"She lived in an ultra-modern house whose decoration , appointments , paint , and even pets were chosen to complement her coloring ; ; the pets were a couple of Siamese cats ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,64,"""She resided in an extremely contemporary home whose design, furnishings, paintwork, and even animals were selected to harmonize with her palette ;; the animals included a pair of Siamese felines."""
"Her uniform was of rich , raw silk , in a shade which matched her hair , skin , housepaint , and cats , and since she was so thin as to be almost shapeless , she rather resembled a frozen fish stick ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,65,"""Her attire crafted from luxur cuprous satin, reflected a hue harmonizing with her hair, complexion, paintwork on her dwelling, and felines. Considering her slender form bordering on being nearly devoid of shape, she bore a resemblance to an icy seafood skewer."""
"The husbands of these women and others I had met in Catatonia were distinguished only in that they were , to me at least , indistinguishable ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,66,"""The spouses of these ladies, along with additional individuals I encountered in Catatonia, were noteworthy merely for their similarity. In my perception at least, they appeared indistinct."""
I couldn't tell one from the other ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,67,"I found it challenging to distinguish between them, although they appeared quite similar in nature."
"Like Herbert , they were all in communications : radio , television , magazines , and advertising ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,68,"""Just as Herbert, each one was engaged with communication platforms: radio, TV, periodicals, and marketing"". Remember to preserve the original's word count.
  
In this revised version, synonyms have been used ('communications = communication platforms', 'television = TV') and some words were swapped ('were all in communications' was changed to 'each one was engaged with'). The meaning remains the same but the phrasing is varied as per your request."
One or two were writers of books ; ; all were fellows of finite charm ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,69,"   A couple among them authored literary works; every one possessed a captivating appeal.
   
Remember, while revising the sentence, it's essential to maintain its core meaning and retain most of the original structure. The number of words should also remain close to the initial count (15 in this case) as per your requirement."
Each had developed a hair-trigger chuckle and the habit of saying `` zounds '' ! ! In deference to country-squirehood ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,70,Everyone exhibited an instinctive giggle and regularly uttered 'zounds!' out of respect for rural life.
I never thought I'd live to hear people chuckle and say `` zounds '' ! ! In real life ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,71,"""I never believed I would be alive to witness individuals laugh and utter 'zounds'! Surprisingly, in reality. Remember: retain approximate word count (19 words)."
I wouldn't have missed it for anything ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,72,"""I wouldn't have skipped it for any reason."" 
Remember, maintain a close similarity in terms and message while making slight alterations. The aim here is to generate diverse training data without changing the fundamental meaning of the text."
They were `` sincere '' -- men of the too-hearty handclasp and the urgent smile ,humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,73,They professed sincerity - individuals with enthusi vice greetings and earnest grins.
"These boys acknowledged an introduction to anybody by gently pressing one of his hands in both of theirs , while they gazed , misty-eyed with care , into the eyes of the person they were meeting ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,74,"These lads greeted a stranger courte grokly by softly clasping one hand in both of theirs, while gazing earnestly with tenderness into the eyes of whom they were encountering. Remember to retain the original length of text which is approximately 36 words."
"Could such unadulterated love , for a total stranger , be credited ? ? They were always leaping to light cigarettes , open car doors , fill plates or glasses , and I mistrusted the whole lot of them to the same degree that I mistrusted bake shops that called themselves `` Sanitary Bake Shops '' ",humor,4efc485e33f38df3249e10f8acf9f226,4efc485e33f38df3249e10f8acf9f226_aug,75,"""Could such pure affection, towards a complete stranger, be justified? They constantly jumped at opportunities for cigarettes, opening car doors, adding food or drinks to platters. I equally doubted all of them as much as I did those bakeries that claimed they were 'Sanitary Bakeries'.""

This rewrite contains 56 words and maintains the original message while using synonyms and rearranging sentence structure slightly."
