text,source_text,binary,category,line_id,document_id,new_document_id
"Five, four, three, two, one - ignition! The immense power unleashed by colossal rocket engines possibly resonates more profoundly than it can be audible. Keeping in mind to preserve a similar length of the original text which is 32 words.","Five , four , three , two , one , fire ! ! The tremendous energy released by giant rocket engines perhaps can be felt much better than it can be heard ",1,hobbies,0,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
The throbbing tremor of power grips firmly within the belly.,The pulsating vibration of energy clutches at the pit of your stomach ,1,hobbies,1,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"""Never in the past have we witnessed such immense trepidation and dread due to the unveiling of an armament.""",Never before has the introduction of a weapon caused so much apprehension and fear ,1,hobbies,2,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"""Nuclear arms are intimidating, yet the long-distance ballistic missile confers upon them a surreptitious and ruthless rapidity that proves exceedingly dreadful."" Remember to keep the length of the text similar to the original which is 22 words.","Nuclear weapons are fearsome , but the long-range ballistic missile gives them a stealth and merciless swiftness which is much more terrifying ",1,hobbies,3,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"A vast number of authors are captivated by the seemingly dominant edge a combatant could possess when launching an unexpected assault via atomic missiles. Remember to retain the text's length, comparable to the initial version with approximately 26 words.",A great many writers are bewitched by the apparently overwhelming advantage an attacker would have if he were to strike with complete surprise using nuclear rockets ,1,hobbies,4,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"""Going one level deeper, it becomes apparent that a perpetr
orator with unparalleled control might concurrently annihilate his adversary's metropolises and populace.""","It is relatively easy to go a step further and reason that an attacker , in possession of such absolute power , would simultaneously destroy his opponent's cities and people ",1,hobbies,5,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"""With a defenseless country in front, why would an assailant spare its populace? Wouldn't unrestrained annihilation of cities and people symbolize total domination? The nation would face absolute ruin.""","With a nation defenseless before it , why would the attacker spare the victim's people ? ? Wouldn't the wanton destruction of cities and people be the logical act of complete subjugation ? ? The nation would be utterly devastated ",1,hobbies,6,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"""The desire of its citizens, essential during periods of danger, would be shattered.""","The will of its people , so crucial in time of peril , would be broken ",1,hobbies,7,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"Nuclear armaments have equipped humanity with tools for its own obliteration within hours or days; now, rockets enable devastating annihilation in mere minutes.",Nuclear weapons have given the world the means for self-destruction in hours or days ; ; and now rockets have given it the means to destroy itself in minutes ,1,hobbies,8,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
"At this juncture, it ought to be starkly clear that cities, being 'delicate', and their inhabitants are perfectly tailored for obliteration via nuclear armaments. Remember to maintain a comparable length as the source material, containing roughly 30 words.","At this point it should be painfully obvious that cities , being `` soft '' , and the people within them are ideally suited to destruction by nuclear weapons ",1,hobbies,9,06fc7de9bd5a6c2fb921bc2268d58ec5,06fc7de9bd5a6c2fb921bc2268d58ec5_aug
